,YEAR,Tech_name,VALUE
183,2023.0,FTR-HCV-DIESEL,378.3187919993
184,2023.0,FTR-HCV-LNG,1.967552000219
185,2023.0,FTR-LCV-CNG,1.22763749983278
186,2023.0,FTR-LCV-DIESEL,254.455694999799
187,2023.0,FTR-LCV-Petrol,14.7767767992098
188,2023.0,FTR-RAIL-DIESEL,14.7826083005613
189,2023.0,Fisheries-Oil,36.4794299998568
190,2023.0,Import Coal PP,1812.8149541947153
191,2023.0,Industry-Coal,67.639000000066
192,2023.0,Industry-Oil,157.67669999995
193,2023.0,PTR-2W-PETROL,150.532073999794
194,2023.0,PTR-2WT-PETROL,15.8295059997609
195,2023.0,PTR-3W-CNG,0.0351749999645108
196,2023.0,PTR-3W-DIESEL,0.854240000174032
197,2023.0,PTR-3W-PETROL,3.59400000055786
198,2023.0,PTR-AIR-ATF,167.807398800134
199,2023.0,PTR-BUS-CNG,0.62472799558178
200,2023.0,PTR-BUS-DIESEL,39.8064040001243
201,2023.0,PTR-CAR-CNG,7.39749600007664
202,2023.0,PTR-CAR-DIESEL,67.0122719998425
203,2023.0,PTR-CAR-PETROL,365.617631999324
204,2023.0,PTR-Ferry-DIESEL,0.483263187791745
205,2023.0,PTR-ONMI-BUS-CNG,0.314720998294651
206,2023.0,PTR-ONMI-BUS-DIESEL,44.2031010016517
207,2023.0,PTR-RAIL-DIESEL,7.03775471049827
208,2023.0,PTR-TAXI-CNG,2.41401600022567
209,2023.0,PTR-TAXI-DIESEL,52.3893080010262
210,2023.0,PTR-TAXI-PETROL,66.929685000352
211,2024.0,Agriculture-mecanization-Oil,10.1887499997843
212,2024.0,Agriculture-pump-Oil,0.444599999551428
213,2024.0,CCGT,37.267259997523794
214,2024.0,Coal PP,30.3983829504
215,2024.0,Cooking rural-Biogas,0.655200000133482
216,2024.0,Cooking rural-Biomass Improved,1.90000000002328
217,2024.0,Cooking rural-Coal,0.189199999052897
218,2024.0,Cooking rural-Gas,24.251499999711793
219,2024.0,Cooking rural-lq-fuel,1.72560000035155
220,2024.0,Cooking urban-Biogas,0.982799999802955
221,2024.0,Cooking urban-Biomass Improved,2.30000000010477
222,2024.0,Cooking urban-Coal,0.283800000572681
223,2024.0,Cooking urban-Gas,84.3093999998571
224,2024.0,Cooking urban-lq-fuel,2.87599999953964
225,2024.0,FTR-AIR-AIR,442.1627298
226,2024.0,FTR-HCV-DIESEL,394.244360000025
227,2024.0,FTR-HCV-LNG,2.6127999997884
228,2024.0,FTR-LCV-CNG,1.42286249956669
229,2024.0,FTR-LCV-DIESEL,265.19456340186
230,2024.0,FTR-LCV-Petrol,15.4472671992898
